"Datetime (date and time of sample collection)","Days since 741001","Sample Time Window, days","Flow, CFS","SS, mg/L (suspended solids)","TP, mg/L as P","SRP, mg/L, as P","NO23, mg/L as N","TKN, mg/L (Total Kjeldahl nitrogen)","Chloride, mg/L","Month",,,,
03/24/1975 09:00,174.37500,0.25,964.0,25.0,0.130,0.048,4.55,-9.000,45.0,3,,,,
03/24/1975 15:00,174.62500,0.21,1140.0,40.0,0.130,0.058,4.69,-9.000,45.0,3,,,,
03/24/1975 19:00,174.79167,0.33,1410.0,94.7,0.210,0.070,4.70,-9.000,38.5,3,,,,
03/25/1975 07:00,175.29167,0.38,4850.0,327.0,0.507,0.080,4.40,-9.000,38.0,3,,,,
03/25/1975 13:00,175.54167,0.38,4786.8,387.0,0.598,0.070,4.20,-9.000,35.5,3,,,,
03/26/1975 01:00,176.04167,0.38,4850.0,873.0,0.906,0.080,4.10,-9.000,30.0,3,,,,
03/26/1975 07:00,176.29167,0.25,3600.0,870.0,1.120,0.085,4.60,-9.000,27.5,3,,,,
03/26/1975 13:00,176.54167,0.25,3150.0,738.0,0.941,0.080,4.60,-9.000,27.5,3,,,,
03/26/1975 19:00,176.79167,0.25,2830.0,786.0,0.906,0.065,4.60,-9.000,27.5,3,,,,
03/27/1975 01:00,177.04167,0.63,2530.0,795.0,0.932,0.065,4.50,-9.000,27.0,3,,,,
03/28/1975 01:00,178.04167,0.63,1580.0,350.0,0.803,0.045,4.10,-9.000,29.0,3,,,,
03/28/1975 07:00,178.29167,0.25,1360.0,263.0,0.774,0.065,4.20,-9.000,29.5,3,,,,
03/28/1975 13:00,178.54167,0.25,1190.0,496.0,0.671,0.070,4.30,-9.000,29.5,3,,,,
03/28/1975 19:00,178.79167,0.25,1070.0,404.0,0.728,0.075,4.10,-9.000,31.0,3,,,,
03/29/1975 01:00,179.04167,0.25,1010.0,-9.000,0.640,0.070,4.20,-9.000,34.0,3,,,,
03/29/1975 07:00,179.29167,0.25,1010.0,283.0,0.457,0.075,4.00,-9.000,34.5,3,,,,
03/29/1975 13:00,179.54167,0.25,1160.0,209.0,0.395,0.080,4.40,-9.000,43.0,3,,,,
03/29/1975 19:00,179.79167,0.25,1850.0,174.0,0.353,0.090,4.80,-9.000,43.0,3,,,,
